,experiment,dish,scan,component,src,t0_ms,f0_MHz,toa_loc,terr_ms,ferr_MHz,gauss2d_twidth_ms,gauss2d_fwidth_MHz,begin_acf_range,end_acf_range,twidth_sigma_ms,fwidth_sigma_MHz,twidtherr_ms,fwidtherr_MHz,off_range_t0,off_range_t1,fluence_jyms,peak_snr,peak_flux_jy,fluence_tot_jyms,scint_bw_MHz,scint_bw_err_MHz,energy_iso_erg_per_hz,spectral_lum_erg_per_s_per_hz,id,sefd_jy,distance_Mpc,dm,toa_mjd_utc,ref_freq_MHz,toa_bary_tdb_inf_freq
0,p47018,wb,no0017,0,sfxc,1060.0101561583026,1271.0,wb,0,0,1.1699050264783188,0,1056.768,1061.632,-1.435002816375676,75.44238634357629,0.0212990426253536,1.4269253219283011,4691,7772,17.452754208722766,5.474901227818816,8.999854867899138,0,0.8020224287215282,0.2467393788188697,7.925507919280574e+30,1.6294218584047234e+33,B07-wb,0,0,0,60369.29523706191,1334.75,60369.29073074932
0,p47019,wb,no0018,0,sfxc,1043.9131866971902,1271.0,wb,0,0,2.239110081266585,0,1037.312,1048.576,-2.8778892722079235,47.13579734124591,0.058748170897625,0.9730018381162778,4804,6504,16.208717225709773,5.096781594421339,4.189143578526823,0,-2.238500067112177e-08,347.41141175306825,7.360575597262334e+30,6.53460191518318e+32,B10-wb,0,0,0,60370.2667902702,1334.75,60370.26230599136
0,p47020,wb,no0016,0,sfxc,1071.2173805619148,1271.0,wb,0,0,0.6888360323849573,0,1069.056,1073.152,1.184942996709016,53.922774252940044,0.0318555442391875,1.4996427288451524,4832,8072,11.49276004531626,6.469429903250956,5.317349828291022,0,0.2981657972669844,0.1505748981400175,5.219002093550441e+30,1.2741704329957132e+33,B17-wb,0,0,0,60373.25807439553,1334.75,60373.2536674352
0,p47021,wb,no007,0,sfxc,1059.3086561756231,1271.0,wb,0,0,1.9159463609922005,0,1054.72,1061.888,-2.181751303587029,54.12502121700686,0.0514369818130914,1.317567305423478,5688,8116,17.393312026106795,6.380380329226548,5.24415825743713,0,0.1740417921736514,0.1341577259758319,7.898514501311808e+30,1.1019132953839018e+33,B27-wb,0,0,0,60375.38481859303,1334.75,60375.380475244325
0,p47021,wb,no0011,0,sfxc,1033.7201653481925,1271.0,wb,0,0,1.3619342331256503,0,1027.072,1040.384,2.151341756739313,55.42709875481164,0.0464660272679978,1.248689465552539,4544,7504,16.14838155008229,6.752503728827125,5.5500136920829055,0,0.5999074108711118,0.1360970638594698,7.333176433251776e+30,5.508696238921106e+32,B31-wb,0,0,0,60375.43112694645,1334.75,60375.426785062926
0,p47022,wb,no0018,0,sfxc,1001.8172217273672,1271.0,wb,0,0,1.5811695715200773,0,995.328,1008.64,2.258048912404822,59.089274909248005,0.0455084107577031,1.2724658283000998,4456,8028,19.61673126480173,6.42146541325238,5.277926884311085,0,0.3280322653351412,0.1103976596221784,8.908196215350403e+30,6.691854128117791e+32,B46-wb,0,0,0,60378.51355569873,1334.75,60378.50931855167
0,p47022,wb,no0022,0,sfxc,1050.6852505972945,1271.0,wb,0,0,2.5757080806741017,0,1044.48,1055.744,3.717749624175536,50.34497063052447,0.0586341355842915,0.8072054494555893,4584,7824,25.16186689605152,5.040256940132383,4.142684869603096,0,0.3814724706826011,0.1197700004114427,1.1426309736767563e+31,1.0144096002101888e+33,B47-wb,0,0,0,60378.55686435109,1334.75,60378.55262875134
0,p47023,wb,no0021,0,sfxc,1021.0555022423684,1271.0,wb,0,0,3.358849917614283,0,1016.832,1022.976,-1.933423989548223,57.085993410509374,0.0526723252527437,1.634401509330958,184,3248,12.098659141512186,5.368950565034231,4.412844530665954,0,0.2653951269315579,0.1084466792247597,5.494148241130159e+30,8.942298569547784e+32,B52-wb,0,0,0,60379.27019237301,1334.75,60379.26598314168
0,p47069,wb,no007,0,sfxc,1009.0511535816856,1271.0,wb,0,0,13.560129231767643,0,989.184,1027.072,17.278843376949613,47.07359010967737,0.2362357557171604,0.6066897633049413,316,2552,25.146440070788017,4.682244834402135,3.8484277808951366,0,0.2774229466217113,0.1483717052468726,1.1419304227818489e+31,3.0139633202645928e+32,B129-wb,0,0,0,60436.09571013079,1334.75,60436.09551180714
0,p47091,wb,no0018,0,sfxc,1077.8405326451618,1271.0,wb,0,0,10.15282553390927,0,1062.912,1089.536,-10.318326492670693,-39.91926230443829,0.0500289250190827,0.1901147414560672,4728,8040,77.12471766041124,9.259225665446149,5.381320926117939,0,0.4695902044097459,0.1063863038309135,3.50232721597814e+31,1.3154774699437124e+33,B132-wb,0,0,0,60471.113486318696,1334.75,60471.11648568393
