,id,station,toa,toa_utc,peak_sn,fluence,fluence_err,width_ms,spectral-density,spec_den_err,spectral-luminosity,spec_lum_err,bandwidth,central frequency,2bit-wb-tag
0,B01-wb,wb,60341.53374506349,60341.53821285065,8.08,203.23,40.65,45.06,72.22,14.44,16.03,3.21,40.0,328.0,0.0
1,B02-wb,wb,60355.63952713359,60355.64416656103,5.26,16.66,3.33,14.34,5.92,1.18,4.13,0.83,128.0,1271.0,0.0
2,B03-st,st,60357.33913408901,60357.34378168892,8.6,20.15,4.03,3.71,7.16,1.43,19.28,3.86,98.0,1381.0,0.0
3,B04-st,st,60357.43387571437,60357.43852301088,6.0,25.1,5.02,9.61,8.92,1.78,9.28,1.86,53.0,1381.0,0.0
4,B05-st,st,60361.54288713104,60361.54750886334,5.21,35.49,7.1,7.86,12.61,2.52,16.04,3.21,98.0,1381.0,0.0
5,B06-st,st,60366.34159176624,60366.34614858078,5.26,16.72,3.34,3.5,5.94,1.19,17.0,3.4,98.0,1381.0,0.0
6,B07-wb,wb,60369.29073074932,60369.29523706191,5.47,17.45,3.49,4.86,6.2,1.24,12.75,2.55,128.0,1271.0,1.0
7,B08-st,st,60369.33149947803,60369.33599699041,4.72,12.74,2.55,3.06,4.53,0.91,14.8,2.96,98.0,1381.0,0.0
8,B09-wb,wb,60369.36627808147,60369.37076861749,4.43,7.34,1.47,22.53,2.61,0.52,1.16,0.23,77.0,1271.0,0.0
9,B10-wb,wb,60370.26230599136,60370.2667902702,5.1,16.21,3.24,11.26,5.76,1.15,5.11,1.02,128.0,1271.0,1.0
10,B11-wb,wb,60370.289589034684,60370.29405853692,4.85,8.67,1.73,11.26,3.08,0.62,2.74,0.55,128.0,1271.0,0.0
11,B12-wb,wb,60370.41651362999,60370.420980134455,6.97,15.48,3.1,7.17,5.5,1.1,7.67,1.53,128.0,1271.0,0.0
12,B13-wb,wb,60370.44755310253,60370.45201886998,12.83,42.4,8.48,5.63,15.07,3.01,26.76,5.35,93.0,1271.0,0.0
13,B14-wb,wb,60370.45328494201,60370.4577505732,6.2,11.13,2.23,3.33,3.95,0.79,11.88,2.38,128.0,1271.0,0.0
14,B15-st,st,60371.27544686698,60371.27989818374,3.8,11.29,2.26,11.36,4.01,0.8,3.53,0.71,98.0,1381.0,0.0
15,B16-st,st,60372.50696126541,60372.51138014962,7.65,14.52,2.9,6.12,5.16,1.03,8.44,1.69,66.0,1381.0,0.0
16,B17-wb,wb,60373.2536674352,60373.25807439553,6.47,11.49,2.3,4.1,4.08,0.82,9.97,1.99,128.0,1271.0,1.0
17,B18-wb,wb,60373.28409218289,60373.28848414828,6.34,15.4,3.08,7.17,5.47,1.09,7.63,1.53,128.0,1271.0,0.0
18,B19-wb,wb,60373.35248173169,60373.35687176086,7.78,22.15,4.43,7.68,7.87,1.57,10.25,2.05,128.0,1271.0,0.0
19,B20-st,st,60373.48328397677,60373.48767547448,5.26,20.95,4.19,9.61,7.44,1.49,7.75,1.55,98.0,1381.0,0.0
20,B21-st,st,60373.54125515216,60373.54564500847,9.61,50.08,10.02,14.85,17.8,3.56,11.98,2.4,98.0,1381.0,0.0
21,B22-st,st,60374.31382348055,60374.31819053136,6.27,28.42,5.68,10.49,10.1,2.02,9.63,1.93,98.0,1381.0,0.0
22,B23-st,st,60375.29369675239,60375.29803356415,7.58,29.34,5.87,10.05,10.43,2.09,10.38,2.08,98.0,1381.0,0.0
23,B24-st,st,60375.29944030687,60375.30377693309,4.35,17.27,3.45,4.81,6.14,1.23,12.77,2.55,60.0,1381.0,0.0
24,B25-wb,wb,60375.34762981275,60375.35196013167,6.21,21.19,4.24,12.29,7.53,1.51,6.13,1.23,128.0,1271.0,0.0
25,B26-wb,wb,60375.37855280177,60375.382882146354,4.78,26.11,5.22,16.38,9.28,1.86,5.66,1.13,128.0,1271.0,0.0
26,B27-wb,wb,60375.380475244325,60375.38481859303,6.38,17.39,3.48,7.17,6.18,1.24,8.63,1.73,128.0,1271.0,1.0
27,B28-wb,wb,60375.39656049642,60375.400889272925,8.26,31.05,6.21,19.46,11.04,2.21,5.67,1.13,95.0,1271.0,0.0
28,B29-wb,wb,60375.400515257206,60375.40484390889,8.84,32.37,6.47,11.26,11.5,2.3,10.21,2.04,74.0,1271.0,0.0
29,B30-st,st,60375.42495423344,60375.42928683707,7.24,37.03,7.41,8.74,13.16,2.63,15.06,3.01,73.0,1381.0,0.0
30,B30-wb,wb,60375.42496114142,60375.42928902096,5.74,42.07,8.41,12.29,14.95,2.99,12.17,2.43,73.0,1271.0,0.0
31,B31-wb,wb,60375.426785062926,60375.43112694645,6.75,16.15,3.23,13.31,5.74,1.15,4.31,0.86,128.0,1271.0,1.0
32,B31-st,st,60375.42679257588,60375.431125121104,6.34,11.94,2.39,3.5,4.24,0.85,12.15,2.43,98.0,1381.0,0.0
33,B32-wb,wb,60375.444172799565,60375.44850007164,4.54,10.33,2.07,12.29,3.67,0.73,2.99,0.6,128.0,1271.0,0.0
34,B33-wb,wb,60375.44794056287,60375.452267715744,5.24,17.17,3.43,15.36,6.1,1.22,3.97,0.79,25.0,1228.0,0.0
35,B34-st,st,60375.468320837215,60375.47265206732,6.8,21.13,4.23,6.99,7.51,1.5,10.74,2.15,61.0,1381.0,0.0
36,B35-st,st,60376.31749559733,60376.32179919394,7.28,42.42,8.48,11.36,15.07,3.01,13.27,2.65,98.0,1381.0,0.0
37,B36-st,st,60376.32735980113,60376.33166306482,5.66,36.76,7.35,11.36,13.06,2.61,11.5,2.3,98.0,1381.0,0.0
38,B37-st,st,60377.2490521708,60377.25332420013,5.45,35.93,7.19,10.49,12.77,2.55,12.18,2.44,98.0,1381.0,0.0
39,B38-st,st,60377.31082508917,60377.31509493116,12.63,117.6,23.52,19.22,41.79,8.36,21.75,4.35,98.0,1381.0,0.0
40,B39-st,st,60377.36899280064,60377.37326059496,4.04,25.97,5.19,11.36,9.23,1.85,8.13,1.63,98.0,1381.0,0.0
41,B40-st,st,60377.4329010056,60377.43716656739,6.23,20.77,4.15,7.43,7.38,1.48,9.94,1.99,98.0,1381.0,0.0
42,B41-st,st,60377.454566635,60377.45883144421,4.7,26.76,5.35,8.74,9.51,1.9,10.89,2.18,98.0,1381.0,0.0
