,id,station,toa,peak_sn,fluence,fluence_err,Number of components,width_ms,spectral density,spec_den_err,spectral luminosity,spec_lum_err,bandwidth,central frequency
0,B15-st,st,0.0,3.8,11.29,2.26,1.0,11.36,4.013473781616052,0.8,13.47,2.69,98,1381
1,B109-st,st,0.0,6.37,11.55,2.31,1.0,5.24,4.104799834503539,0.82,29.85,5.97,98,1381
2,B31-st,st,0.0,6.34,11.94,2.39,1.0,3.5,4.2442220857388255,0.85,46.29,9.26,98,1381
3,B123-st,st,0.0,7.58,12.45,2.49,1.0,3.28,4.424866219635351,0.88,51.48,10.3,60,1381
4,B42-st,st,0.0,4.83,12.48,2.5,1.0,5.24,4.436518833132353,0.89,32.26,6.45,98,1381
5,B115-st,st,0.0,7.9,12.49,2.5,1.0,1.97,4.4390598243111,0.89,86.07,17.21,98,1381
6,B08-st,st,0.0,4.72,12.74,2.55,1.0,3.06,4.52688069017511,0.91,56.43,11.29,98,1381
7,B45-st,st,0.0,5.25,12.92,2.58,1.0,2.4,4.589754436353337,0.92,72.81,14.56,98,1381
8,B124-st,st,0.0,3.5,13.36,2.67,1.0,3.71,4.7487656873744815,0.95,48.75,9.75,98,1381
9,B127-st,st,0.0,4.64,13.92,2.78,1.0,9.61,4.946073408244926,0.99,19.62,3.92,98,1381
10,B16-st,st,0.0,7.65,14.52,2.9,1.0,6.12,5.15904312003477,1.03,32.15,6.43,66,1381
11,B116-st,st,0.0,7.03,14.54,2.91,1.0,3.28,5.166554519983668,1.03,60.11,12.02,98,1381
12,B49-st,st,0.0,6.55,14.75,2.95,1.0,3.5,5.241874405770508,1.05,57.17,11.43,98,1381
13,B118-st,st,0.0,4.91,16.14,3.23,1.0,3.93,5.73624472452905,1.15,55.61,11.12,98,1381
14,B88-st,st,0.0,4.87,16.37,3.27,1.0,6.34,5.815937594192342,1.16,35.0,7.0,64,1381
15,B06-st,st,0.0,5.26,16.72,3.34,1.0,3.5,5.941981147907446,1.19,64.81,12.96,98,1381
16,B51-st,st,0.0,4.63,16.72,3.34,1.0,5.68,5.943010835706911,1.19,39.89,7.98,98,1381
17,B24-st,st,0.0,4.35,17.27,3.45,1.0,4.81,6.136605878079957,1.23,48.68,9.74,60,1381
18,B61-st,st,0.0,7.72,18.01,3.6,1.0,2.62,6.3988024877006255,1.28,93.05,18.61,98,1381
19,B113-st,st,0.0,5.91,18.82,3.76,1.0,6.99,6.689305146423704,1.34,36.48,7.3,57,1381
20,B03-st,st,0.0,8.6,20.15,4.03,1.0,3.71,7.160011409958341,1.43,73.5,14.7,98,1381
21,B40-st,st,0.0,6.23,20.77,4.15,1.0,7.43,7.379990012473881,1.48,37.88,7.58,98,1381
22,B58-st,st,0.0,5.39,20.79,4.16,1.0,5.68,7.387091493981127,1.48,49.58,9.92,98,1381
23,B101-st,st,0.0,6.79,20.92,4.18,1.0,3.28,7.4356899945000405,1.49,86.51,17.3,98,1381
24,B20-st,st,0.0,5.26,20.95,4.19,1.0,9.61,7.4449634356751195,1.49,29.53,5.91,98,1381
25,B34-st,st,0.0,6.8,21.13,4.23,1.0,6.99,7.5094589198311334,1.5,40.95,8.19,61,1381
26,B43-st,st,0.0,5.18,21.39,4.28,1.0,7.86,7.600242764252617,1.52,36.84,7.37,98,1381
27,B131-st,st,0.0,4.79,22.4,4.48,1.0,6.12,7.9592534675014255,1.59,49.61,9.92,98,1381
28,B103-st,st,0.0,5.42,22.84,4.57,1.0,9.61,8.115808423211702,1.62,32.19,6.44,57,1381
29,B50-st,st,0.0,4.81,23.6,4.72,1.0,6.12,8.387880488328891,1.68,52.28,10.46,98,1381
30,B119-st,st,0.0,5.44,23.86,4.77,1.0,13.11,8.478133696989408,1.7,24.66,4.93,98,1381
31,B04-st,st,0.0,6.0,25.1,5.02,1.0,9.61,8.920358163876346,1.78,35.38,7.08,53,1381
32,B66-st,st,0.0,6.18,25.49,5.1,1.0,9.61,9.060031642316124,1.81,35.93,7.19,73,1381
33,B39-st,st,0.0,4.04,25.97,5.19,1.0,11.36,9.23044160775051,1.85,30.98,6.2,98,1381
34,B41-st,st,0.0,4.7,26.76,5.35,1.0,8.74,9.511716230188584,1.9,41.5,8.3,98,1381
35,B75-st,st,0.0,9.19,27.39,5.48,1.0,4.59,9.733133134516912,1.95,80.88,16.18,63,1381
36,B74-st,st,0.0,6.89,27.55,5.51,1.0,9.61,9.790869938261297,1.96,38.83,7.77,58,1381
37,B22-st,st,0.0,6.27,28.42,5.68,1.0,10.49,10.098245491553284,2.02,36.71,7.34,98,1381
38,B54-st,st,0.0,4.59,28.46,5.69,1.0,8.08,10.114640520110425,2.02,47.7,9.54,67,1381
39,B23-st,st,0.0,7.58,29.34,5.87,1.0,10.05,10.427586008718132,2.09,39.56,7.91,98,1381
40,B87-st,st,0.0,4.52,30.1,6.02,1.0,6.99,10.697869161027945,2.14,58.34,11.67,73,1381
41,B76-st,st,0.0,5.96,30.41,6.08,1.0,11.36,10.80640440386815,2.16,36.27,7.25,98,1381
42,B53-st,st,0.0,4.69,30.96,6.19,1.0,5.02,11.000907389085452,2.2,83.47,16.69,98,1381
43,B56-st,st,0.0,4.5,31.37,6.27,1.0,8.96,11.149212583724623,2.23,47.45,9.49,47,1381
44,B100-st,st,0.0,6.99,31.78,6.36,1.0,5.46,11.293327544746543,2.26,78.83,15.77,98,1381
45,B05-st,st,0.0,5.21,35.49,7.1,1.0,7.86,12.610859143299674,2.52,61.13,12.23,98,1381
46,B37-st,st,0.0,5.45,35.93,7.19,1.0,10.49,12.767742973015755,2.55,46.42,9.28,98,1381
47,B36-st,st,0.0,5.66,36.76,7.35,1.0,11.36,13.064084537270709,2.61,43.84,8.77,98,1381
48,B30-st,st,0.0,7.24,37.03,7.41,1.0,8.74,13.159911127288966,2.63,57.41,11.48,73,1381
49,B107-st,st,0.0,7.28,37.06,7.41,1.0,10.49,13.171126113712292,2.63,47.88,9.58,98,1381
50,B55-st,st,0.0,5.85,37.3,7.46,1.0,6.99,13.254309512250979,2.65,72.28,14.46,66,1381
51,B167-st,st,0.0,11.72,38.61,7.72,1.0,5.9,13.722537024622277,2.74,88.69,17.74,46,1381
52,B117-st,st,0.0,5.87,39.2,7.84,1.0,8.52,13.929473072055144,2.79,62.33,12.47,98,1381
53,B73-st,st,0.0,15.81,42.19,8.44,1.0,5.02,14.995006401528709,3.0,113.77,22.75,98,1381
54,B35-st,st,0.0,7.28,42.42,8.48,1.0,11.36,15.074511008210054,3.01,50.59,10.12,98,1381
55,B21-st,st,0.0,9.61,50.08,10.02,1.0,14.85,17.79610949123892,3.56,45.67,9.13,98,1381
56,B120-st,st,0.0,7.88,52.71,10.54,1.0,7.65,18.73352125941973,3.75,93.4,18.68,18,1414
57,B59-st,st,0.0,8.0,53.35,10.67,1.0,7.43,18.95852109631499,3.79,97.31,19.46,98,1381
58,B114-st,st,0.0,18.26,54.03,10.81,1.0,5.02,19.200065176431202,3.84,145.68,29.14,98,1381
59,B104-st,st,0.0,24.19,81.12,16.22,1.0,4.15,28.829328669331225,5.77,264.78,52.96,52,1381
60,B57-st,st,0.0,16.35,87.03,17.41,1.0,6.34,30.928328311429567,6.19,186.11,37.22,73,1381
61,B38-st,st,0.0,12.63,117.6,23.52,1.0,19.22,41.79432847868929,8.36,82.88,16.58,98,1381
62,B80-st,st,0.0,10.71,132.58,26.52,1.0,31.68,47.11595176752107,9.42,56.7,11.34,98,1381
63,B121-st,st,0.0,29.69,137.86,27.57,1.0,5.9,48.9930564297511,9.8,316.65,63.33,98,1381
64,B62-st,st,0.0,64.97,144.71,28.94,1.0,4.15,51.42810564318121,10.29,472.35,94.47,98,1381
65,B44-st,st,0.0,13.12,210.7,42.14,1.0,35.39,74.87712742046344,14.98,80.66,16.13,68,1381
66,B102-st,st,0.0,127.34,530.21,106.04,1.0,10.92,188.42682190928917,37.69,657.64,131.53,98,1381
67,B60-st,st,0.0,202.16,668.94,133.79,1.0,5.68,237.72999469278886,47.55,1595.6,319.12,73,1381
68,B125-st,st,0.0,116.05,1168.39,233.68,1.0,47.4,415.22476228714726,83.04,333.92,66.78,98,1381
