,BurstID,Date,MJD,MJD(bary@inf freq.),DM,DMError,width,widtherror,flux,fluxerror,bandwidth,bandwidtherror,Lower_Freq.(MHz),Lower_Freq_err(MHz),feakfrequency,feakfrequencyerror,Upper_Freq.(MHz),Upper_freq_err(MHz),Tsamp(s),Nchan,fluence_mJyms,fluenceerror,energy,energyerror,note,bestfit,saturation_tag
0,B00001,20240128,60337.238279752,60337.234183833,529.5,0.1,3.51,0.23,217.48,9.57,188.3,10.6,1011.2,5.8,1105.3,2.4,1199.5,5.8,0.000196608,4096,764.1,61.05,6.11793e+37,5.97952e+36,NA,Gaussian,False
1,B00002,20240128,60337.240238714,60337.236142735,529.6,0.8,2.6,0.43,86.47,3.81,75.3,8.1,1003.6,4.2,1041.2,4.1,1078.8,6.9,0.000196608,4096,224.77,38.88,7.19681e+36,1.46604e+36,NA,CDF,False
2,B00003,20240128,60337.241529942,60337.237433923,525.0,0.3,4.63,1.23,18.15,0.95,355.4,67.4,989.7,35.6,1167.4,11.7,1345.1,35.6,0.000196608,4096,84.01,22.77,1.26959e+37,4.19931e+36,NA,Gaussian,False
3,B00004,20240128,60337.24375908,60337.239662993,526.7,2,2.66,0.49,74.3,3.33,73.8,5.4,1001.9,2.8,1038.8,2.7,1075.7,4.7,0.000196608,4096,197.63,37.69,6.201739999999999e+36,1.26692e+36,NA,CDF,False
4,B00005,20240128,60337.243836131,60337.239740042,527.0,2.2,1.2,0.26,77.42,3.59,104.4,3.9,1012.1,2.2,1064.2,1.0,1116.4,2.2,0.000196608,4096,93.21,20.58,4.1379e+36,9.26541e+35,NA,Gaussian,False
5,B00006,20240128,60337.248027786,60337.243931568,527.7,0.2,3.67,0.38,127.52,4.93,110.7,10.8,1002.5,0.9,1057.8,5.4,1113.2,10.7,0.000196608,4096,468.35,51.83,2.20454e+37,3.2522599999999996e+36,NA,CDF,False
6,B00007,20240128,60337.250127527,60337.246031245,527.7,0.1,3.02,0.21,257.95,11.58,207.7,6.2,1002.5,0.9,1106.3,3.1,1210.2,6.2,0.000196608,4096,779.51,65.28,6.8843100000000005e+37,6.12039e+36,NA,CDF,False
7,B00008,20240128,60337.250508478,60337.246412184,526.8,0.3,3.72,0.53,98.18,4.55,98.7,14.3,1008.8,7.9,1058.2,3.4,1107.6,7.9,0.000196608,4096,365.39,54.89,1.5334999999999998e+37,3.2005000000000003e+36,NA,Gaussian,False
8,B00009,20240129,60338.217377888,60338.213252721,528.5,0.1,1.62,0.06,224.58,7.91,319.2,8.1,1131.4,6.9,1291.1,4.1,1450.7,4.3,4.9152e-05,4096,363.15,18.95,4.9288900000000005e+37,2.86059e+36,NA,CDF,False
9,B00010,20240129,60338.221266599,60338.21714132,527.9,0.1,5.75,1.02,37.79,0.8,227.7,36.9,986.4,20.0,1100.2,7.7,1214.1,20.0,4.9152e-05,4096,217.28,38.66,2.1037e+37,5.06288e+36,NA,Gaussian,False
10,B00011,20240129,60338.225180877,60338.221055485,527.2,0.6,2.52,0.14,239.82,7.45,74.5,6.7,1002.8,1.4,1040.1,3.4,1077.3,6.6,4.9152e-05,4096,603.44,39.25,1.9115800000000002e+37,2.12163e+36,NA,CDF,False
11,B00012,20240129,60338.228024425,60338.223898951,528.3,0.1,2.0,0.07,389.79,9.97,158.7,21.2,1002.6,1.2,1082.0,10.6,1161.4,21.1,4.9152e-05,4096,778.72,34.17,5.25487e+37,7.38865e+36,NA,CDF,False
12,B00013,20240129,60338.228378324,60338.224252839,527.5,0.2,0.72,0.07,136.26,7.37,172.9,34.6,1000.4,24.4,1086.9,24.4,1173.3,24.4,4.9152e-05,4096,98.66,11.38,7.25356e+36,1.67557e+36,NA,Manual,False
13,B00014,20240129,60338.228829717,60338.224704219,525.4,0.4,1.42,0.2,85.52,1.45,48.9,8.8,1385.9,4.9,1410.4,2.1,1434.8,4.9,4.9152e-05,4096,121.7,16.89,2.53058e+36,5.75118e+35,NA,Gaussian,False
14,B00015,20240129,60338.231902345,60338.227776758,529.8,0.2,2.45,0.32,53.73,1.11,202.3,20.0,1020.8,11.0,1122.0,4.5,1223.1,11.0,4.9152e-05,4096,131.39,17.28,1.13021e+37,1.85939e+36,NA,Gaussian,False
15,B00016,20240129,60338.234152992,60338.23002734,529.7,0.2,2.34,0.27,91.12,5.97,105.1,2.8,1002.2,1.5,1054.7,0.7,1107.3,1.5,4.9152e-05,4096,213.1,28.03,9.52318e+36,1.2781199999999999e+36,NA,Gaussian,False
