,experiment,dish,scan,component,src,t0_ms,f0_MHz,toa_loc,terr_ms,ferr_MHz,gauss2d_twidth_ms,gauss2d_fwidth_MHz,begin_acf_range,end_acf_range,twidth_sigma_ms,fwidth_sigma_MHz,twidtherr_ms,fwidtherr_MHz,off_range_t0,off_range_t1,fluence_jyms,peak_snr,peak_flux_jy,fluence_tot_jyms,scint_bw_MHz,scint_bw_err_MHz,energy_iso_erg_per_hz,spectral_lum_erg_per_s_per_hz,id,sefd_jy,distance_Mpc,dm,toa_mjd_utc,ref_freq_MHz,toa_bary_tdb_inf_freq
0,p47024,o8,no0024.ds.pazi,0,sfxc,256.62755869302805,1424.0,coe,0,0,0.4948489817332177,0,254.72,258.112,0.3341589368314388,-56.97086947055764,0.0004992844342096,0.0896660407582982,4909,7670,170.04504904179865,133.91004564365886,324.9486781842236,0,1.439263534357984,0.2056638825930132,7.721952459180689e+31,2.2765190032961938e+34,B63-o8,0,0,0,60380.4521403785,1480,60380.44799063407
0,p47024,o8,no0024,0,scale,1021.3596095706756,1424.0,0,0,0,0.0,0,1019.904,1023.488,0.4107032562976243,57.079876246052216,0.0009070930040005,0.1328912963903225,8801,15923,198.2896246759966,179.85253504682166,308.60515933919964,0,1.4217289612242463,0.2013747606883364,9.00457298536489e+31,2.512436658862972e+34,B63-o8,0,0,0,0.0,0,0.0
0,p47024,o8,no0024,0,spc,1021.3596095706756,1424.0,0,0,0,0.0,0,1019.904,1023.488,0.3968005758614264,57.06915096415733,0.0008555986027555,0.1297055894952768,8801,15923,194.56441560652388,179.50360020224758,308.0064294226002,0,1.4104980357679202,0.2020289076096393,8.835406711503506e+31,2.4652362476293262e+34,B63-o8,0,0,0,0.0,0,0.0
0,p47024,o8,no0026.ds.pazi,0,sfxc,259.90610320915715,1424.0,coe,0,0,0.8276693428553168,0,257.28000000000003,261.88800000000003,-0.8483575225034599,41.4262960177644,0.0192957097123694,0.9467825231855868,4512,7780,7.025697679585134,4.448595840930428,5.397523880071315,0,0.4255470298836444,0.1158496545840252,3.19045475184619e+30,6.923729930221766e+32,B65-o8,0,0,0,60380.47044918007,1480,60380.46630015496
0,p47024,o8,no0026,0,scale,1002.6112703697088,1424.0,0,0,0,0.0,0,1000.448,1004.544,1.1271103608095625,37.907077165732304,0.0234103941449511,0.7903318257211142,8596,15860,7.032625878709065,4.6194156824753,3.9631788130569374,0,0.4693956460576467,0.1314704474190368,3.193600931318289e+30,7.796877273726291e+32,B65-o8,0,0,0,0.0,0,0.0
0,p47024,o8,no0026,0,spc,1002.6112703697088,1424.0,0,0,0,0.0,0,1000.448,1004.544,1.097008053500518,38.4108598228125,0.0238608207319661,0.8387431596402738,8596,15860,7.08682318016092,4.665688414785148,4.002878014193644,0,0.4534428491905817,0.1319383941215029,3.2182125849703883e+30,7.856964318775362e+32,B65-o8,0,0,0,0.0,0,0.0
0,p47024,o8,no0032.ds.pazi,0,sfxc,260.9003189677419,1424.0,coe,0,0,1.6552313284246007,0,257.024,264.192,-2.255212546720103,58.66486387872611,0.0196499486625659,0.5434668399213893,4688,7824,18.37183948629553,5.397966043598889,6.549403826724196,0,0.8953918778364736,0.1674383196055482,8.34287572030401e+30,1.163905652944198e+33,B67-o8,0,0,0,60380.52696139409,1480,60380.5228145924
0,p47024,o8,no0032,0,scale,1039.3923716129034,1424.0,0,0,0,0.0,0,1034.24,1047.552,3.547670545326508,54.74287678203867,0.0252327068307939,0.4046210237215963,8972,15132,25.74598564394022,6.898414038423987,5.918421341576825,0,1.5247365467561391,0.256164357797812,1.169156516332244e+31,8.782726234466978e+32,B67-o8,0,0,0,0.0,0,0.0
0,p47024,o8,no0032,0,spc,1039.3923716129034,1424.0,0,0,0,0.0,0,1034.24,1047.552,3.3019096576894245,54.97318739347216,0.0265751901472158,0.4604144923063779,8972,15132,24.10507562186993,6.801964408546711,5.835673402025306,0,1.2848976255512292,0.2301112726726084,1.0946407968119112e+31,8.222962716435632e+32,B67-o8,0,0,0,0.0,0,0.0
0,p47024-2,o8,no0032.ds.pazi,0,sfxc,258.4347452822665,1424.0,coe,0,0,0.267236604948133,0,257.408,259.072,-0.3012389745318524,-35.94547807396327,0.0073014815587239,0.8756266247514808,4472,7800,3.491466171038277,5.381766495160237,9.234459254816278,0,0.3222381388451712,0.1217100853192337,1.585517246019198e+30,9.528348834249988e+32,B68-o8,0,0,0,60380.52934545536,1480,60380.52519874757
0,p47024-2,o8,no0032,0,scale,554.138371503877,1424.0,0,0,0,0.0,0,552.96,555.008,0.3914222932129468,-34.45514071787993,0.0117632188218867,1.0395628208470338,2278,4006,4.080051723299089,5.336953019579932,6.475376141154807,0,-6.666497806926232e-05,1530.8589867104656,1.852801102757738e+30,9.046880384559268e+32,B68-o8,0,0,0,0.0,0,0.0
