,experiment,dish,scan,component,src,t0_ms,f0_MHz,toa_loc,terr_ms,ferr_MHz,gauss2d_twidth_ms,gauss2d_fwidth_MHz,begin_acf_range,end_acf_range,twidth_sigma_ms,fwidth_sigma_MHz,twidtherr_ms,fwidtherr_MHz,off_range_t0,off_range_t1,fluence_jyms,peak_snr,peak_flux_jy,fluence_tot_jyms,scint_bw_MHz,scint_bw_err_MHz,energy_iso_erg_per_hz,spectral_lum_erg_per_s_per_hz,id,sefd_jy,distance_Mpc,dm,toa_mjd_utc,ref_freq_MHz,toa_bary_tdb_inf_freq
0,rn1l10,tr,no0011.ds.pazi,0,sfxc,284.13527210822053,1414.0,coe,0,0,0.7033669324864545,0,281.664,286.72,-0.8771073751405722,51.00224777038505,0.0008372008793454,0.0497549501742456,447,3368,387.3461730799268,146.757731989299,287.1976771133224,0,1.525607571444518,0.1992070452027127,1.758986074939199e+32,3.4790072684715167e+34,B60-tr,0,0,0,60380.43194885303,1470,60380.42780668305
0,rn1l10,tr,no0011,0,scale,1007.6381841286296,1414.0,0,0,0,0.0,0,1004.8,1010.304,-0.9696911703859876,-50.89185853224285,0.0014007536171481,0.07510613407497,982,6970,408.4195741270096,193.54087263565293,267.8166840102405,0,1.6065422634626871,0.1897636175527918,1.854682951711437e+32,3.3697001302896755e+34,B60-tr,0,0,0,0.0,0,0.0
0,rn1l10,tr,no0011,0,spc,1007.6381841286296,1414.0,0,0,0,0.0,0,1004.8,1010.304,0.94027178267802,-50.81775036765559,0.0013584880206257,0.0749898914271904,982,6970,406.0763860758199,196.3207375886968,271.6633867949388,0,1.587969703865615,0.1903412306141297,1.8440422498291026e+32,3.3503674597185734e+34,B60-tr,0,0,0,0.0,0,0.0
0,rn1l10,tr,no0013.ds.pazi,0,sfxc,263.76963338189387,1414.0,coe,0,0,0.734355597543583,0,259.648,265.344,1.2691134808402054,50.26142958626677,0.003038161471954,0.1226623133912202,4734,7946,21.437753567143428,8.761781823329255,17.146376909240974,0,0.3525538706398072,0.0956657032997023,9.735144587268824e+30,1.709119485124443e+33,B61-tr,0,0,0,60380.44477488623,1470,60380.44063322275
0,rn1l10,tr,no0013,0,scale,980.6949329697694,1414.0,0,0,0,0.0,0,978.56,982.4,1.3110405073090128,48.21830264765856,0.002632438791883,0.0977762287295549,8278,16126,24.3655302850911,11.23660652471487,15.548915626944453,0,0.4547183706950261,0.1026631512342459,1.1064683597930095e+31,2.881428020294296e+33,B61-tr,0,0,0,0.0,0,0.0
0,rn1l10,tr,no0013,0,spc,980.6949329697694,1414.0,0,0,0,0.0,0,978.56,982.4,1.2870987405182437,48.35343429333576,0.0027359338911423,0.1039177027467858,8278,16126,23.854274397907872,11.229939010194764,15.539689298649824,0,0.4487517200185027,0.1020925538239685,1.0832516082465722e+31,2.820967729808782e+33,B61-tr,0,0,0,0.0,0,0.0
0,rn1l10,tr,no0015.ds.pazi,0,sfxc,279.34354613943805,1414.0,coe,0,0,1.3775470800900227,0,274.944,283.392,-2.703114870556602,53.97070523213171,0.0305764376424362,0.6306756176032101,4744,8000,12.438381295660626,4.080984106798855,3.99314278001543,0,0.2645239615507188,0.0963294744324487,5.648420202498459e+30,6.686103459396851e+32,B64-tr,0,0,0,60380.4630940993,1470,60380.45895315967
0,rn1l10,tr,no0015,0,scale,264.19771045161303,1414.0,0,0,0,0.0,0,259.072,269.312,-2.981013615823932,53.056028940494585,0.0398799277152974,0.7310589713738298,216,1556,15.73507416634891,5.73284361732479,3.9664778468565314,0,0.3978982582191885,0.1204259216858832,7.145488524300483e+30,6.978016137012191e+32,B64-tr,0,0,0,0.0,0,0.0
0,rn1l10,tr,no0015,0,spc,264.19771045161303,1414.0,0,0,0,0.0,0,259.072,269.312,-2.8920532753336268,52.96531902361709,0.0408144892984507,0.7697572886604344,216,1556,15.192307857977866,5.669876304784726,3.9229116052253294,0,0.3481210161655404,0.1169455770848083,6.899011743394267e+30,6.737316155658464e+32,B64-tr,0,0,0,0.0,0,0.0
0,rn1l10,tr,no0016.ds.pazi,0,sfxc,249.3896098231009,1414.0,coe,0,0,0.9796482896726302,0,246.784,251.392,1.0161275374006888,54.595329028332536,0.011960170117084,0.6673473483497094,300,3480,6.75765232865475,5.056009752557339,4.947181442210659,0,0.2837086990800673,0.0765605192122404,3.068732098440383e+30,6.659574866407081e+32,B65-tr,0,0,0,60380.470449340966,1470,60380.4663086921
0,rn1l10,tr,no0016,0,scale,269.8288474838711,1414.0,0,0,0,0.0,0,266.752,271.36,1.1222834841161555,54.6922580258757,0.0174963853750233,0.8859049357947729,184,1752,5.979282978952291,4.923199177963674,3.406295684752649,0,0.4106804815087843,0.1335307692409519,2.71526511142988e+30,5.892502411957205e+32,B65-tr,0,0,0,0.0,0,0.0
0,rn1l10,tr,no0016,0,spc,269.8288474838711,1414.0,0,0,0,0.0,0,266.752,271.36,1.0989620399334616,54.83423373766071,0.0174591495888235,0.9058161566230212,184,1752,6.21178093424006,5.0285019242815965,3.4791532469615585,0,0.3799899598157515,0.1355074071461667,2.820845260202548e+30,6.121625998703446e+32,B65-tr,0,0,0,0.0,0,0.0
0,rn1l10,tr,no0022.ds.pazi,0,sfxc,273.8011306888657,1414.0,coe,0,0,1.9443239849350544,0,268.8,278.784,-2.501095499636435,-49.63839200586603,0.0099748133172068,0.2014122157751348,488,3844,22.86444674287,6.51358805120036,6.373386030911948,0,-0.3211140318799459,0.0873750111502906,1.038302330757723e+31,1.039966276800604e+33,B66-tr,0,0,0,60380.52696155035,1470,60380.52282313823
0,rn1l10,tr,no0022,0,scale,1056.2336705931325,1414.0,0,0,0,0.0,0,1050.624,1061.888,3.278127082399035,58.93590194566653,0.0117890378225874,0.2262508786473517,8944,15832,29.95344233385388,9.124056489102244,6.312812690045036,0,0.4073565528972301,0.1001029408534685,1.3602222410719791e+31,1.2075836657244132e+33,B66-tr,0,0,0,0.0,0,0.0
0,rn1l10,tr,no0022,0,spc,1056.2336705931325,1414.0,0,0,0,0.0,0,1050.624,1061.888,3.1290070385690663,58.45769156723654,0.0122721967878443,0.2439393992799242,8944,15832,28.53282260453122,9.049126008117907,6.260969292122844,0,0.3668172614462318,0.0960188024966581,1.2957101716279157e+31,1.1503108768003512e+33,B66-tr,0,0,0,0.0,0,0.0
0,rn1l10,tr,no0023.ds.pazi,0,sfxc,272.2465768158169,1414.0,coe,0,0,0.4372300729290688,0,271.104,273.152,0.2814730368980513,51.04541627847708,0.0041360373534373,0.766807062532093,4618,7726,5.23230677089761,7.319544769317827,10.128590317320327,0,0.2187138462870094,0.1082953672421575,2.376054131795921e+30,1.1601826815409772e+33,B68-tr,0,0,0,60380.529345613424,1470,60380.52520729577
0,rn1l10,tr,no0023,0,scale,1068.633624241415,1414.0,0,0,0,0.0,0,1067.008,1069.824,0.576106325289293,55.40922521271503,0.012293870798037,0.7429607380412434,750,7288,5.7889898015282695,8.553766917077043,8.369650974615901,0,0.4353642100673657,0.1363698400043758,2.628850665513638e+30,9.335407192875136e+32,B68-tr,0,0,0,0.0,0,0.0
0,rn1l10,tr,no0023,0,spc,1068.633624241415,1414.0,0,0,0,0.0,0,1067.008,1069.824,-0.517996880764425,56.91252189007498,0.0113718960826269,1.3098167456012926,750,7288,5.782777931437244,8.613543462711133,8.428140857292819,0,0.3852551127598123,0.1319066436540562,2.6260297797662547e+30,9.32538984291994e+32,B68-tr,0,0,0,0.0,0,0.0
0,rn1l10,tr,no0007.ds.pazi,0,sfxc,259.2316185639959,1414.0,coe,0,0,1.206716033273787,0,256.512,261.504,-1.4900426714636046,-46.88210122907175,0.0062969342713783,0.2001221646639782,4558,7886,15.51951707446845,5.460547664476414,7.556159835721116,0,1.396524179392442,0.1946866747283917,7.047601427609359e+30,1.4117791321332852e+33,B58-tr,0,0,0,60380.39697603373,1470,60380.39283248393
0,rn1l10,tr,no0007,0,scale,1050.2961487117584,1414.0,0,0,0,0.0,0,1044.992,1056.256,3.5277315882514166,45.29675072040388,0.0088211634995111,0.1140872616200919,8608,10452,11.199093905866642,6.797010954156551,6.650708384788566,0,1.9946616564494464,0.3394861221118131,5.085644728518094e+30,4.514954481994046e+32,B58-tr,0,0,0,0.0,0,0.0
0,rn1l10,tr,no0007,0,spc,1050.2961487117584,1414.0,0,0,0,0.0,0,1044.992,1056.256,3.359063298110076,45.39352393825603,0.0094569504538733,0.1288099917670895,8608,10452,11.430593291312984,6.934568677702104,6.78530524089888,0,1.8377118462429616,0.3130356572782476,5.190771414582726e+30,4.608284281412221e+32,B58-tr,0,0,0,0.0,0,0.0
0,rn1l11,tr,no0013.ds.pazi,0,sfxc,277.439950451613,1414.0,coe,0,0,1.244840814066964,0,273.92,281.088,2.091809130897788,46.759414220377344,0.0177198182100963,0.3999154531165007,4800,7776,12.8837316996067,5.29179571270905,3.661322698759681,0,0.3596793157809439,0.1224859569564146,5.85065923658543e+30,8.162192015325655e+32,B85-tr,0,0,0,60381.44031116357,1470,60381.436209560045
0,rn1l11,tr,no0013,0,scale,275.41682107804365,1414.0,0,0,0,0.0,0,270.336,281.6,3.988560462353522,-44.08342094118794,0.0329203519576009,0.3633904557270809,808,1904,5.700057152317866,4.155665573507172,2.0331083810597583,0,3.305328686255648,0.5032656908927429,2.58846526804741e+30,2.297998284843226e+32,B85-tr,0,0,0,0.0,0,0.0
0,rn1l11,tr,no0013,0,spc,275.41682107804365,1414.0,0,0,0,0.0,0,270.336,281.6,3.853528481281244,44.46349840185041,0.0345523247452279,0.399447074784001,808,1904,5.905469358234107,4.218539729539506,2.063868790269856,0,2.7179221100360165,0.4615386278410746,2.6817454486559466e+30,2.380810945184612e+32,B85-tr,0,0,0,0.0,0,0.0
0,rn1l11-2,tr,no0014.ds.pazi,0,sfxc,249.94745033923,1414.0,coe,0,0,1.7424131063263997,0,245.76,253.952,1.564948573677856,101.60000000203972,0.0651163170987766,7.694415467848079,4572,8100,30.53182245783957,9.816602765774467,9.605304856033804,0,-9.421058235330485e-06,911.667260320026,1.3864871858376142e+31,1.6924892405244314e+33,B87-tr,0,0,0,60381.44972449661,1470,60381.44562327887
0,rn1l11-2,tr,no0014,0,scale,1044.0241788137355,1414.0,0,0,0,0.0,0,1037.312,1048.064,1.9762372871297065,55.09768088209625,0.0263934700150818,0.766713950044392,8684,13072,33.247817357881495,12.785313789432818,8.845987662674021,0,-2.9910300618760973e-08,NA,1.5098238170167175e+31,1.404226020290846e+33,B87-tr,0,0,0,0.0,0,0.0
