,scan_name,scan_no,Telescope,Source_Name,Obs_Date_String,MJD_start_time,RA_J2000,RA_J2000_(deg),Dec_J2000,Dec_J2000_(deg),Tracking?,Azimuth_(deg),Zenith_Ang_(deg),Number_of_polns,Sample_time_(us),Central_freq_(MHz),Low_channel_(MHz),High_channel_(MHz),Channel_width_(MHz),Number_of_channels,Total_Bandwidth_(MHz),Beam,Beam_FWHM_(deg),Spectra_per_subint,Spectra_per_file,Time_per_subint_(sec),Time_per_file_(sec),bits_per_sample,bytes_per_spectra,samples_per_spectra,bytes_per_subint,samples_per_subint,zero_offset,Invert_the_band?,bytes_in_file_header,MJD_end_time,complete_filename,Are_bytes_signed?,Polarization_order,Backend,Starting_subint,Subints_per_file,Source_Name_nancay,observed_hours,total_obs_time_s
0,pcn239,no0001,wb,R240121,2024-01-29T13:00:01,60338.54167824074,21:27:39.8880,321.9162,04:21:00.3600,4.3501,True,190.6314,48.82939,2_(summed),64.0,1271.0,1207.015625,1334.984375,0.03125,4096.0,128.0,1_of_1,1.0,2400.0,14046721.0,0.1536,898.990144,8.0,4096.0,4096.0,9830400.0,9830400.0,0.0,False,295.0,60338.552083219256,pcn239_wb_no0001_IFall_vdif_pol2.txt,False,NA,NA,NA,NA,NA,0.24971948435995728,898.9901436958462
1,pcn239,no0002,wb,R240121,2024-01-29T13:15:15,60338.55225694445,21:27:39.8880,321.9162,04:21:00.3600,4.3501,True,195.6222,49.35467,2_(summed),64.0,1271.0,1207.015625,1334.984375,0.03125,4096.0,128.0,1_of_1,1.0,2400.0,14015489.0,0.1536,896.991296,8.0,4096.0,4096.0,9830400.0,9830400.0,0.0,False,295.0,60338.56263878815,pcn239_wb_no0002_IFall_vdif_pol2.txt,False,NA,NA,NA,NA,NA,0.24916424875846133,896.9912955304608
2,pcn239,no0003,wb,R240121,2024-01-29T13:30:27,60338.5628125,21:27:39.8880,321.9162,04:21:00.3600,4.3501,True,200.5146,50.07043,2_(summed),64.0,1271.0,1207.015625,1334.984375,0.03125,4096.0,128.0,1_of_1,1.0,2400.0,14015489.0,0.1536,896.991296,8.0,4096.0,4096.0,9830400.0,9830400.0,0.0,False,295.0,60338.573194343706,pcn239_wb_no0003_IFall_vdif_pol2.txt,False,NA,NA,NA,NA,NA,0.2491642489330843,896.9912961591035
3,pcn239,no0004,wb,R240121,2024-01-29T13:45:39,60338.57336805556,21:27:39.8880,321.9162,04:21:00.3600,4.3501,True,205.2983,50.96867,2_(summed),64.0,1271.0,1207.015625,1334.984375,0.03125,4096.0,128.0,1_of_1,1.0,2400.0,14015489.0,0.1536,896.991296,8.0,4096.0,4096.0,9830400.0,9830400.0,0.0,False,295.0,60338.58374989926,pcn239_wb_no0004_IFall_vdif_pol2.txt,False,NA,NA,NA,NA,NA,0.2491642489330843,896.9912961591035
4,pcn239,no0005,wb,R240121,2024-01-29T14:00:51,60338.58392361111,21:27:39.8880,321.9162,04:21:00.3600,4.3501,True,209.957,52.0388,2_(summed),64.0,1271.0,1207.015625,1334.984375,0.03125,4096.0,128.0,1_of_1,1.0,2400.0,14015489.0,0.1536,896.991296,8.0,4096.0,4096.0,9830400.0,9830400.0,0.0,False,295.0,60338.59430545482,pcn239_wb_no0005_IFall_vdif_pol2.txt,False,NA,NA,NA,NA,NA,0.2491642489330843,896.9912961591035
5,pcn239,no0006,wb,R240121,2024-01-29T14:16:03,60338.59447916667,21:27:39.8880,321.9162,04:21:00.3600,4.3501,True,214.4794,53.26909,2_(summed),64.0,1271.0,1207.015625,1334.984375,0.03125,4096.0,128.0,1_of_1,1.0,2400.0,14015489.0,0.1536,896.991296,8.0,4096.0,4096.0,9830400.0,9830400.0,0.0,False,295.0,60338.604861010375,pcn239_wb_no0006_IFall_vdif_pol2.txt,False,NA,NA,NA,NA,NA,0.2491642489330843,896.9912961591035
6,pcn239,no0007,wb,R240121,2024-01-29T14:31:15,60338.60503472222,21:27:39.8880,321.9162,04:21:00.3600,4.3501,True,218.8589,54.64716,2_(summed),64.0,1271.0,1207.015625,1334.984375,0.03125,4096.0,128.0,1_of_1,1.0,2400.0,14015489.0,0.1536,896.991296,8.0,4096.0,4096.0,9830400.0,9830400.0,0.0,False,295.0,60338.615416565925,pcn239_wb_no0007_IFall_vdif_pol2.txt,False,NA,NA,NA,NA,NA,0.2491642489330843,896.9912961591035
7,pcn239,no0008,wb,R240121,2024-01-29T14:46:27,60338.615590277775,21:27:39.8880,321.9162,04:21:00.3600,4.3501,True,223.0933,56.16029,2_(summed),64.0,1271.0,1207.015625,1334.984375,0.03125,4096.0,128.0,1_of_1,1.0,2400.0,14015489.0,0.1536,896.991296,8.0,4096.0,4096.0,9830400.0,9830400.0,0.0,False,295.0,60338.62597212148,pcn239_wb_no0008_IFall_vdif_pol2.txt,False,NA,NA,NA,NA,NA,0.2491642489330843,896.9912961591035
8,pcn239,no0009,wb,R240121,2024-01-29T15:01:38,60338.62613425926,21:27:39.8880,321.9162,04:21:00.3600,4.3501,True,227.1795,57.794,2_(summed),64.0,1271.0,1207.015625,1334.984375,0.03125,4096.0,128.0,1_of_1,1.0,2400.0,14030849.0,0.1536,897.974336,8.0,4096.0,4096.0,9830400.0,9830400.0,0.0,False,295.0,60338.63652748075,pcn239_wb_no0009_IFall_vdif_pol2.txt,False,NA,NA,NA,NA,NA,0.2494373156223446,897.9743362404406
9,pcn239,no0010,wb,R240121,2024-01-29T15:16:51,60338.63670138889,21:27:39.8880,321.9162,04:21:00.3600,4.3501,True,231.1353,59.54149,2_(summed),64.0,1271.0,1207.015625,1334.984375,0.03125,4096.0,128.0,1_of_1,1.0,2400.0,14015489.0,0.1536,896.991296,8.0,4096.0,4096.0,9830400.0,9830400.0,0.0,False,295.0,60338.647083232594,pcn239_wb_no0010_IFall_vdif_pol2.txt,False,NA,NA,NA,NA,NA,0.2491642489330843,896.9912961591035
