MJD,DM,DM_err,Telescope,project,burst_id,is_pband
60380.27609,528.085,0.508,Onsala,p47024_8,B57-o8,False
60380.43194,527.83,0.102,Torun,rn1l10_11,b60-tr,False
60380.45214,528.146,0.16,Onsala,p47024_24,B63-o8,False
60383.26844,528.205,0.26,Onsala,p47027_10,B102-o8,False
60386.37677,527.854,0.075,Westerbork,p47030_21,B105-wb,True
60431.43777,528.007,0.24,Onsala,p47064_38,B125-o8,False
60573.92099,528.313,0.103,Westerbork,p55084_34,B135-wb,False
60581.8725,528.464,0.086,Westerbork,p55092_32,b136-wb,False
60586.95299,528.468,0.081,Westerbork,p55097_41,B137-wb-Stroop,False
60673.6099,528.761,0.406,Westerbork,p55173_40,B140-wb,False
60674.67263,528.904,0.139,Torun,rn1l62_14,B141-tr,False
60686.62063,528.746,0.471,Torun,rn1l67_14,B158-tr,False
60698.53842,528.673,0.56,Torun,rn1l70_07,B163-tr,False
