#timestamp   folder_name                obscode   scan   time_res   freq_res   dm_start   dm_end   dm_step  telescope
#1.078912     p55097_41_wb_60586.95300   p55097    41     8us        500KHz     527.5      529.5    0.01     Wb
#1.818112     p55173_40_wb_60673.60990   p55173    40     64us       500KHz     527.5      530.5    0.02     Wb
1.929        p47024_24_o8_60380.45214   p47024    24     64us       500KHz     527.0      529.2    0.02     O8
#1.826944     p55084_34_wb_60573.92099   p55084    34     64us       500KHz     527.0      529.0    0.05     Wb
#1.74208      p47064_38_o8_60431.43777   p47064    38     64us       500KHz     527.0      529.0    0.05     O8
#1.5482       p47027_10_o8_60383.26844   p47027    10     64us       500KHz     526.7      529.7    0.01     O8
#1.16032      rn1l70_7_tr_60698.53843    rn1l70    7      64us       500KHz     527.2      530.2    0.05     Tr
#1.305        rn1l67_14_tr_60686.62064   rn1l67    14     64us       500KHz     527.2      530.5    0.05     Tr
#1.666        rn1l62_14_tr_60674.67263   rn1l62    14     8us        500KHz     528        530      0.02     Tr
#1.85088      p55092_32_wb_60581.87251   p55092    32     64us       500KHz     527.7      529.3    0.02     Wb
#1.848064     p47024_8_o8_60380.27610    p47024    8      64us       500KHz     527        529      0.02     O8
#1.381        rn1l10_11_tr_60380.43195   rn1l10    11     64us       500KHz     527.4      529.0    0.01     Tr DONE
#2.016     p47030_21_wb_60386.37678   p47030    21     64us       500KHz     527.91     528.90    0.01      Wb DONE DONE
