,fil_name,DM,tsamp,fsamp,sn_peak,sn_peak_idx
0,/data1/omar/sfxc/frb240114a/p47027_10_o8_60383.26844/dm_opt/p47027_10_64us_500KHz_StokesI_DM52670_cor_O8.fil,526.7,6.4e-05,0.125,68.38475294645848,24194
1,/data1/omar/sfxc/frb240114a/p47027_10_o8_60383.26844/dm_opt/p47027_10_64us_500KHz_StokesI_DM52671_cor_O8.fil,526.71,6.4e-05,0.125,69.03619480420282,24194
2,/data1/omar/sfxc/frb240114a/p47027_10_o8_60383.26844/dm_opt/p47027_10_64us_500KHz_StokesI_DM52672_cor_O8.fil,526.72,6.4e-05,0.125,68.35335863777608,24194
3,/data1/omar/sfxc/frb240114a/p47027_10_o8_60383.26844/dm_opt/p47027_10_64us_500KHz_StokesI_DM52673_cor_O8.fil,526.73,6.4e-05,0.125,68.55979953575478,24194
4,/data1/omar/sfxc/frb240114a/p47027_10_o8_60383.26844/dm_opt/p47027_10_64us_500KHz_StokesI_DM52674_cor_O8.fil,526.74,6.4e-05,0.125,68.96051677961435,24194
5,/data1/omar/sfxc/frb240114a/p47027_10_o8_60383.26844/dm_opt/p47027_10_64us_500KHz_StokesI_DM52675_cor_O8.fil,526.75,6.4e-05,0.125,68.97566962884845,24194
6,/data1/omar/sfxc/frb240114a/p47027_10_o8_60383.26844/dm_opt/p47027_10_64us_500KHz_StokesI_DM52676_cor_O8.fil,526.76,6.4e-05,0.125,68.93565362413936,24194
7,/data1/omar/sfxc/frb240114a/p47027_10_o8_60383.26844/dm_opt/p47027_10_64us_500KHz_StokesI_DM52677_cor_O8.fil,526.77,6.4e-05,0.125,68.26152030698356,24194
8,/data1/omar/sfxc/frb240114a/p47027_10_o8_60383.26844/dm_opt/p47027_10_64us_500KHz_StokesI_DM52678_cor_O8.fil,526.78,6.4e-05,0.125,67.98108843807906,24194
9,/data1/omar/sfxc/frb240114a/p47027_10_o8_60383.26844/dm_opt/p47027_10_64us_500KHz_StokesI_DM52679_cor_O8.fil,526.79,6.4e-05,0.125,67.89077539172554,24194
10,/data1/omar/sfxc/frb240114a/p47027_10_o8_60383.26844/dm_opt/p47027_10_64us_500KHz_StokesI_DM52680_cor_O8.fil,526.8,6.4e-05,0.125,67.9465528204824,24194
