,scan_name,scan_no,Telescope,Source_Name,Obs_Date_String,MJD_start_time,RA_J2000,RA_J2000_(deg),Dec_J2000,Dec_J2000_(deg),Tracking?,Azimuth_(deg),Zenith_Ang_(deg),Number_of_polns,Sample_time_(us),Central_freq_(MHz),Low_channel_(MHz),High_channel_(MHz),Channel_width_(MHz),Number_of_channels,Total_Bandwidth_(MHz),Beam,Beam_FWHM_(deg),Spectra_per_subint,Spectra_per_file,Time_per_subint_(sec),Time_per_file_(sec),bits_per_sample,bytes_per_spectra,samples_per_spectra,bytes_per_subint,samples_per_subint,zero_offset,Invert_the_band?,bytes_in_file_header,MJD_end_time,complete_filename
269,dwi_FRB20240114A_P_Band_2024_02_06_10_08_06_270,no0001,dw,FRB20240114A,2024-02-06T09:08:16,60346.380740740744,21:27:40.9995,321.920831130878,04:21:01.8003,4.35050009089702,True,-51.59887,59.85872,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,933361,0.4608,179.205312,32,640,160,1536000,384000,0,False,327,60346.3828148763,FRB20240114A_P_Band_2024_02_06_10_08_06.txt
270,dwi_FRB20240114A_P_Band_2024_02_06_10_12_49_271,no0001,dw,FRB20240114A,2024-02-06T09:12:59,60346.38401620371,21:27:40.8028,321.920011508177,04:21:00.1006,4.35002795407065,True,-50.39034,59.30399,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,1193557,0.4608,229.162944,32,640,160,1536000,384000,0,False,327,60346.3866685526,FRB20240114A_P_Band_2024_02_06_10_12_49.txt
271,dwi_FRB20240114A_P_Band_2024_02_06_10_17_37_272,no0001,dw,FRB20240114A,2024-02-06T09:17:48,60346.38736111111,21:27:40.8028,321.920011508177,04:21:00.6001,4.35016669228816,True,-49.14407,58.7474,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60346.39430555556,FRB20240114A_P_Band_2024_02_06_10_17_37.txt
0,dwi_FRB20240114A_L1_Band_2024_02_06_10_18_44_1,no0001,dw,FRB20240114A,2024-02-06T09:18:45,60346.38802083333,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,-48.89645,58.63884,2_(summed),198.4,1250.078125,1225.15625,1400,0.15625,320,50,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60346.394965276515,FRB20240114A_L1_Band_2024_02_06_10_18_44.txt
272,dwi_FRB20240114A_P_Band_2024_02_06_10_27_48_273,no0001,dw,FRB20240114A,2024-02-06T09:27:49,60346.394317129634,21:27:40.8028,321.920011508177,04:21:00.4003,4.35011119700116,True,-46.50677,57.62371,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60346.40126157408,FRB20240114A_P_Band_2024_02_06_10_27_48.txt
1,dwi_FRB20240114A_L1_Band_2024_02_06_10_28_45_2,no0001,dw,FRB20240114A,2024-02-06T09:28:46,60346.39497685185,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,-46.25394,57.51967,2_(summed),198.4,1250.078125,1225.15625,1400,0.15625,320,50,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60346.40192129504,FRB20240114A_L1_Band_2024_02_06_10_28_45.txt
273,dwi_FRB20240114A_P_Band_2024_02_06_10_37_49_274,no0001,dw,FRB20240114A,2024-02-06T09:37:50,60346.40127314815,21:27:40.9011,321.920421319528,04:21:00.6001,4.35016669228816,True,-43.80887,56.5486,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60346.408217592594,FRB20240114A_P_Band_2024_02_06_10_37_49.txt
2,dwi_FRB20240114A_L1_Band_2024_02_06_10_38_46_3,no0001,dw,FRB20240114A,2024-02-06T09:38:47,60346.40193287037,21:27:40.8028,321.920011508177,04:21:00.4003,4.35011119700116,True,-43.55017,56.44926,2_(summed),198.4,1250.078125,1225.15625,1400,0.15625,320,50,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60346.40887731356,FRB20240114A_L1_Band_2024_02_06_10_38_46.txt
274,dwi_FRB20240114A_P_Band_2024_02_06_10_47_50_275,no0001,dw,FRB20240114A,2024-02-06T09:47:51,60346.40822916667,21:27:40.8028,321.920011508177,04:21:00.5002,4.35013894464466,True,-41.05014,55.52551,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60346.415173611116,FRB20240114A_P_Band_2024_02_06_10_47_50.txt
3,dwi_FRB20240114A_L1_Band_2024_02_06_10_48_47_4,no0001,dw,FRB20240114A,2024-02-06T09:48:48,60346.4088888892,21:27:40.8028,321.920011508177,04:21:00.4003,4.35011119700116,True,-40.78504,55.43135,2_(summed),198.4,1250.078125,1225.15625,1400,0.15625,320,50,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60346.41583333239,FRB20240114A_L1_Band_2024_02_06_10_48_47.txt
