mjd_day,telescope,unique_hours
60338,wb,4.7346668629324995
60339,stk,7.126805041276384
60340,wb,9.469060658826493
60342,tr,4.345538560766727
60342,wb,9.463453690172173
60343,stk,6.692601370392367
60344,stk,9.546285420132335
60344,wb,8.471220374805853
60346,dw,0.9871742509421892
60346,stk,3.583438574918546
60347,stk,8.197164236975368
60348,stk,6.057234219624661
60349,dw,2.943189380283002
60349,stk,5.578562188544311
60349,tr,4.348874525574502
60350,o8,3.987183218181599
60350,stk,8.843046274851076
60351,o8,9.468796694709454
60351,stk,9.544201860611793
60351,tr,4.356382819300052
60352,stk,9.394296270911582
60352,tr,4.343870674492791
60353,stk,2.9755470277159475
60353,tr,2.1744401555042714
60354,stk,7.831132569874171
60355,dw,2.037414074584376
60355,stk,8.311751262692269
60355,wb,3.98689194774488
60356,dw,2.0597419007099234
60356,stk,9.5449251839309
60357,stk,9.522376916371286
60358,stk,8.830875997315161
60358,tr,4.35527234809706
60359,stk,7.037908127414994
60359,tr,4.155547969741747
60360,dw,1.9999996375408955
60360,stk,8.07544495241018
60360,wb,3.7363259562989697
60361,stk,8.307775412220508
60363,stk,1.11007401131792
60364,stk,9.516861212498043
60364,wb,1.9910930485348217
60365,stk,9.545306749118026
60365,wb,5.973534008895513
60366,stk,9.550636039639357
60366,wb,1.9894273420795798
60367,stk,7.966794031555764
60367,wb,1.5758223286829889
60368,stk,8.106645913620014
60368,wb,3.120251093641855
60369,stk,7.652676585246809
60369,wb,4.976895217783749
60370,stk,8.360166346945334
60370,wb,6.469104533724021
60371,stk,9.545711616170593
60372,stk,7.144549277261831
60373,stk,9.54659513826482
60373,wb,3.98162176029291
60374,stk,9.555652698967606
60375,stk,10.525306849507615
60375,wb,3.1344050669576973
60376,stk,10.609135646140203
60377,stk,10.609108461183496
60378,stk,10.608735633955803
60378,wb,6.469104533724021
60379,stk,10.559236050175969
60379,wb,1.9921944178640842
60380,o8,8.412647574848961
60380,stk,10.595241043483838
60380,tr,4.55527093046112
60381,o8,9.421492393186782
60381,stk,10.58106487855548
60381,tr,4.553605223656632
60382,o8,10.139557707938366
60382,stk,10.256509246537462
60383,o8,9.64707283739699
60383,stk,10.572692775574978
60384,o8,10.139293745043688
